name,bus,control,p_nom,p_min_pu,p_max_pu,p_set,carrier,marginal_cost
Clogher generation,Clogher,PV,110.25,0.0,1.0,0.0,AC,0.0
Croaghonagh generation,Croaghonagh,PV,91.2,0.0,1.0,0.0,AC,0.0
Drumkeen generation,Drumkeen,PV,84.96,0.0,1.0,0.0,AC,0.0
Cathaleen's Fall generation,Cathaleen's Fall,PV,83.0,0.0,1.0,0.0,AC,0.0
Binbane generation,Binbane,PV,75.1,0.0,1.0,0.0,AC,0.0
Letterkenny generation,Letterkenny,PV,70.77000000000001,0.0,1.0,0.0,AC,0.0
Corderry generation,Corderry,PV,63.253,0.0,1.0,0.0,AC,0.0
Sorne Hill generation,Sorne Hill,PV,63.24999999999999,0.0,1.0,0.0,AC,0.0
Trillick generation,Trillick,PV,44.69,0.0,1.0,0.0,AC,0.0
Ardnagappary generation,Ardnagappary,PV,22.94,0.0,1.0,0.0,AC,0.0
Sligo generation,Sligo,PV,13.65,0.0,1.0,0.0,AC,0.0
boundary Corderry - ARIGNA_T 1,Corderry,PV,178.0,0.005166232086367137,0.005166232086367137,0.9195893113733504,boundary,0.0
boundary Corderry - GARVAGH 1,Corderry,PV,178.0,-0.0,-0.0,-0.0,boundary,0.0
boundary Corraclassy - ENNK_PST 1,Corraclassy,PV,99.0,0.07710608197011395,0.07710608197011395,7.633502115041281,boundary,0.0
boundary Corraclassy - GORTAWEE 1,Corraclassy,PV,178.0,-0.04531311496610421,-0.04531311496610421,-8.06573446396655,boundary,0.0
boundary Letterkenny - STRA_PST 1,Letterkenny,PV,80.0,-0.43511313340586033,-0.43511313340586033,-34.80905067246883,boundary,0.0
boundary Sligo - CUNGHILL 1,Sligo,PV,178.0,0.33644816687024326,0.33644816687024326,59.8877737029033,boundary,0.0
boundary Sligo - FLAGFORD 1,Sligo,PV,99.0,-0.017084392699682538,-0.017084392699682538,-1.6913548772685711,boundary,0.0
boundary Srananagh 220 - FLAGFORD 1,Srananagh 220,Slack,434.0,-1.0,1.0,35.79527488440719,boundary,100.0
