circuit,extract_mw,full_mw,difference_mw
1701-28712-2,23.885537088096214,23.878594218410257,0.006942869685957476
1341-5191-1,14.007976496277792,14.01224520059398,-0.004268704316189087
3591-5191-1,-11.007976496277792,-11.01224520059398,0.004268704316189087
1341-1701-1,-21.047976496277755,-21.052245200593916,0.004268704316160665
3581-3591-1,-11.007976496277934,-11.012245200594009,0.0042687043160754
2321-28710-1,-25.20880917069624,-25.204974460373208,-0.003834710323033619
2321-3581-1,25.208809170696327,25.20497446037342,0.003834710322905721
1701-5041-1,-35.53656277354138,-35.53946401624205,0.0029012427006733787
5041-17010-2,39.71472024785393,39.71181900517378,0.0029012426801529045
2870-17010-1,-23.885537088096214,-23.88821125348393,0.002674165387716698
2871-28019-1,22.562265005495647,22.561831011502363,0.00043399399328336585
3581-28019-1,-22.562265005494766,-22.56183101150539,-0.0004339939893753808
4981-5041-1,20.019548396210247,20.019548396210553,-3.055333763768431e-13
4981-5041-2,18.516870429424486,18.516870429424777,-2.913225216616411e-13
1631-5041-1,0.9195893113733504,0.9195893113733788,-2.842170943040401e-14
1701-1981-1,0.4322323489252682,0.4322323489252682,0.0
1701-1761-1,0.0,0.0,0.0
1571-5191-1,-3.0,-3.0,0.0
28710-51911-1,0.0,0.0,0.0
2870-4091-1,0.0,0.0,0.0
2321-4071-1,0.0,0.0,0.0
3581-5361-1,6.290000000000063,6.290000000000063,0.0
4991-5361-1,0.0,0.0,0.0
