name,bus,control,p_nom,p_min_pu,p_max_pu,p_set,carrier,marginal_cost
Croaghonagh generation,Croaghonagh,PV,139.2,0.0,1.0,0.0,AC,0.0
Cathaleen's Fall generation,Cathaleen's Fall,PV,100.5,0.0,1.0,40.0,AC,0.0
Mulreavy generation,Mulreavy,PV,95.25,0.0,1.0,0.0,AC,0.0
Binbane generation,Binbane,PV,93.6,0.0,1.0,0.0,AC,0.0
Meentycat generation,Meentycat,PV,84.96,0.0,1.0,0.0,AC,0.0
Corderry generation,Corderry,PV,79.60300000000001,0.0,1.0,0.0,AC,0.0
Sorne Hill generation,Sorne Hill,PV,63.24999999999999,0.0,1.0,0.0,AC,0.0
Golagh generation,Golagh,PV,63.0,0.0,1.0,0.0,AC,0.0
Letterkenny generation,Letterkenny,PV,60.27,0.0,1.0,0.0,AC,0.0
Trillick generation,Trillick,PV,44.69,0.0,1.0,0.0,AC,0.0
Lenalea generation,Lenalea,PV,30.5,0.0,1.0,0.0,AC,0.0
Tievebrack generation,Tievebrack,PV,29.9,0.0,1.0,0.0,AC,0.0
Ardnagappary generation,Ardnagappary,PV,22.94,0.0,1.0,0.0,AC,0.0
Cliff generation,Cliff,PV,20.0,0.0,1.0,0.0,AC,0.0
Sligo generation,Sligo,PV,17.73,0.0,1.0,0.0,AC,0.0
boundary Corderry - ARIGNA_T 1,Corderry,PV,178.0,0.015834152633005284,0.015834152633005284,2.8184791686749406,boundary,0.0
boundary Corderry - GARVAGH 1,Corderry,PV,178.0,-0.0,-0.0,-0.0,boundary,0.0
boundary Corraclassy - ENNK_PST 1,Corraclassy,PV,99.0,0.08456937420328602,0.08456937420328602,8.372368046125315,boundary,0.0
boundary Corraclassy - GORTAWEE 1,Corraclassy,PV,178.0,-0.06678785815352045,-0.06678785815352045,-11.88823875132664,boundary,0.0
boundary Letterkenny - STRA_PST 1,Letterkenny,PV,105.0,-0.319544848015443,-0.319544848015443,-33.55220904162151,boundary,0.0
boundary Sligo - CUNGHILL 1,Sligo,PV,178.0,0.11905028750853848,0.11905028750853848,21.19095117651985,boundary,0.0
boundary Sligo - FLAGFORD 1,Sligo,PV,99.0,0.03559319108366429,0.03559319108366429,3.523725917282764,boundary,0.0
boundary Srananagh 220 - FLAGFORD 1,Srananagh 220,Slack,434.0,-1.0,1.0,29.0249234843497,boundary,100.0
