station,kv,buses,folds_into,note
Ardnagappary,110.0,1571,,the Gweedore-area 110 kV station; see the note on Clady
Binbane,110.0,1341,,
Cathaleen's Fall,110.0,"1701,17010,17061",,"two 110 kV busbars (1701 CATH_FALL, 17010 CATH FALL) and a capacitor (17061 CATH_CAP), joined by zero-impedance branches; one station"
Cliff,110.0,1761,,"the Erne's upper station, 5.5 km from Cathaleen's Fall"
Clogher,110.0,"2870,2871,28710,28712",,"four 110 kV busbars at one site, joined by zero-impedance couplers"
Corderry,110.0,1631,,
Corraclassy,110.0,1981,,
Croaghonagh,110.0,51911,,
Drumkeen,110.0,2321,,
Golagh,110.0,"2801,28019",,Golagh and the tee point on the Letterkenny-Clogher line
Lenalea,110.0,3591,,
Letterkenny,110.0,"3581,35861,35862",,with its capacitor and SVC
Meentycat,110.0,4071,,
Mulreavy,110.0,4091,,
Sligo,110.0,"4981,49861",,with its capacitor
Sorne Hill,110.0,4991,,
Srananagh 110,110.0,5041,,the 110 kV side of the same station
Srananagh 220,220.0,5042,,"the region's connection to the 220 kV network, and the boundary this extraction slacks at"
Tievebrack,110.0,5191,,
Trillick,110.0,5361,,
