name,bus,control,p_nom,p_min_pu,p_max_pu,p_set,carrier,marginal_cost
Croaghonagh generation,Croaghonagh,PV,139.2,0.0,1.0,0.0,AC,0.0
Clogher generation,Clogher,PV,110.25,0.0,1.0,0.0,AC,0.0
Drumkeen generation,Drumkeen,PV,84.96,0.0,1.0,0.0,AC,0.0
Cathaleen's Fall generation,Cathaleen's Fall,PV,83.0,0.0,1.0,65.0,AC,0.0
Binbane generation,Binbane,PV,75.1,0.0,1.0,4.3,AC,0.0
Letterkenny generation,Letterkenny,PV,70.77000000000001,0.0,1.0,0.0,AC,0.0
Corderry generation,Corderry,PV,63.253,0.0,1.0,0.0,AC,0.0
Sorne Hill generation,Sorne Hill,PV,63.24999999999999,0.0,1.0,0.0,AC,0.0
Trillick generation,Trillick,PV,44.69,0.0,1.0,0.0,AC,0.0
Ardnagappary generation,Ardnagappary,PV,22.94,0.0,1.0,0.0,AC,0.0
Sligo generation,Sligo,PV,13.65,0.0,1.0,0.0,AC,0.0
boundary Corderry - ARIGNA_T 1,Corderry,PV,210.0,0.08509788498544518,0.08509788498544518,17.87055584694349,boundary,0.0
boundary Corderry - GARVAGH 1,Corderry,PV,210.0,-0.0,-0.0,-0.0,boundary,0.0
boundary Corraclassy - ENNK_PST 1,Corraclassy,PV,121.0,0.045816583882354926,0.045816583882354926,5.543806649764946,boundary,0.0
boundary Corraclassy - GORTAWEE 1,Corraclassy,PV,210.0,0.012477352845251387,0.012477352845251387,2.620244097502791,boundary,0.0
boundary Letterkenny - STRA_PST 1,Letterkenny,PV,93.0,-0.22014970016789814,-0.22014970016789814,-20.473922115614528,boundary,0.0
boundary Sligo - CUNGHILL 1,Sligo,PV,210.0,-0.030418569447826102,-0.030418569447826102,-6.387899584043481,boundary,0.0
boundary Sligo - FLAGFORD 1,Sligo,PV,121.0,0.20131614338453976,0.20131614338453976,24.35925334952931,boundary,0.0
boundary Srananagh 220 - FLAGFORD 1,Srananagh 220,Slack,513.0,-1.0,1.0,92.92796175599005,boundary,100.0
